"AD_Org_ID[Name]","Value/K","VersionNo","Name","Description","UPC","SKU","IsActive","IsSummary","M_Product_Category_ID[Value]","Classification","C_TaxCategory_ID[Name]","C_RevenueRecognition_ID[Name]","C_UOM_ID[Name]","SalesRep_ID[Name]","ProductType","R_MailText_ID[Name]","Weight","Volume","IsOwnBox","M_FreightCategory_ID[Value]","IsDropShip","IsStocked","M_Locator_ID[Value]","IsManufactured","IsPhantom","ShelfWidth","IsKanban","ShelfHeight","M_PartType_ID[Name]","ShelfDepth","UnitsPerPallet","IsBOM","IsInvoicePrintDetails","IsPickListPrintDetails","IsPurchased","IsSold","Discontinued","DiscontinuedAt","IsExcludeAutoDelivery","ImageURL","DescriptionURL","GuaranteeDays","GuaranteeDaysMin","M_AttributeSet_ID[Name]","M_AttributeSetInstance_ID[Description]","IsWebStoreFeatured","IsSelfService","Group1","Group2","MatchRequirement","hsv_hesosp"
"*","lhtp10.1",,"Moi Sấy","Moi Sấy",,,"Y","N","thanhpham.ts",,"VAT 0%",,"Kg",,"I",,"0,00","0,00","N",,"N","Y",,"N","N",0,"N","0,00",,0,"0,00","Y","N","N","Y","Y","N",,"N",,,0,0,,,"N","Y",,,"N","0,00"
"*","lhtp2.08",,"Mực loại B","Mực loại B",,,"Y","N","thanhpham.ts",,"VAT 0%",,"Kg",,"I",,"0,00","0,00","N",,"N","Y",,"N","N",0,"N","0,00",,0,"0,00","Y","N","N","Y","Y","N",,"N",,,0,0,,,"N","Y",,,"N","0,00"
"*","lhtp2.13",,"Mực ống Xô","Mực ống Xô",,,"Y","N","thanhpham.ts",,"VAT 0%",,"Kg",,"I",,"0,00","0,00","N",,"N","Y",,"N","N",0,"N","0,00",,0,"0,00","Y","N","N","Y","Y","N",,"N",,,0,0,,,"N","Y",,,"N","0,00"
"*","lhtp3.29",,"Cá mối lột xương không tẩm","Cá mối lột xương không tẩm",,,"Y","N","thanhpham.ts",,"VAT 0%",,"Kg",,"I",,"0,00","0,00","N",,"N","Y",,"N","N",0,"N","0,00",,0,"0,00","Y","N","N","Y","Y","N",,"N",,,0,0,,,"N","Y",,,"N","0,00"
"*","lhtp3.32",,"Cá nóc mặn không xương","Cá nóc mặn không xương",,,"Y","N","thanhpham.ts",,"VAT 0%",,"Kg",,"I",,"0,00","0,00","N",,"N","Y",,"N","N",0,"N","0,00",,0,"0,00","Y","N","N","Y","Y","N",,"N",,,0,0,,,"N","Y",,,"N","0,00"
"*","lhtp4.01",,"Cá đốm nhỏ nguyên con cấp đông","Cá đốm nhỏ nguyên con cấp đông",,,"Y","N","thanhpham.ts",,"VAT 0%",,"Kg",,"I",,"0,00","0,00","N",,"N","Y",,"N","N",0,"N","0,00",,0,"0,00","Y","N","N","Y","Y","N",,"N",,,0,0,,,"N","Y",,,"N","0,00"
"*","lhtp4.11",,"Cá đốm cắt đầu cấp đông loại A","Cá đốm cắt đầu cấp đông loại A",,,"Y","N","thanhpham.ts",,"VAT 0%",,"Kg",,"I",,"0,00","0,00","N",,"N","Y",,"N","N",0,"N","0,00",,0,"0,00","Y","N","N","Y","Y","N",,"N",,,0,0,,,"N","Y",,,"N","0,00"
"*","lhtp4.12",,"Cá đốm cắt đầu cấp đông loại B","Cá đốm cắt đầu cấp đông loại B",,,"Y","N","thanhpham.ts",,"VAT 0%",,"Kg",,"I",,"0,00","0,00","N",,"N","Y",,"N","N",0,"N","0,00",,0,"0,00","Y","N","N","Y","Y","N",,"N",,,0,0,,,"N","Y",,,"N","0,00"
"*","lhtp4.13",,"Cá đốm nguyên con loại to (26 - 35 con) cấp đông","Cá đốm nguyên con loại to (26 - 35 con) cấp đông",,,"Y","N","thanhpham.ts",,"VAT 0%",,"Kg",,"I",,"0,00","0,00","N",,"N","Y",,"N","N",0,"N","0,00",,0,"0,00","Y","N","N","Y","Y","N",,"N",,,0,0,,,"N","Y",,,"N","0,00"
"*","lhtp4.14",,"Cá đốm nguyên con loại nhỏ (35 - 45 con) cấp đông","Cá đốm nguyên con loại nhỏ (35 - 45 con) cấp đông",,,"Y","N","thanhpham.ts",,"VAT 0%",,"Kg",,"I",,"0,00","0,00","N",,"N","Y",,"N","N",0,"N","0,00",,0,"0,00","Y","N","N","Y","Y","N",,"N",,,0,0,,,"N","Y",,,"N","0,00"
"*","lhtp4.15",,"Cá đốm Surimi cấp đông","Cá đốm Surimi cấp đông",,,"Y","N","thanhpham.ts",,"VAT 0%",,"Kg",,"I",,"0,00","0,00","N",,"N","Y",,"N","N",0,"N","0,00",,0,"0,00","Y","N","N","Y","Y","N",,"N",,,0,0,,,"N","Y",,,"N","0,00"
"*","lhtp4.16",,"Cá hố nguyên con cấp đông","Cá hố nguyên con cấp đông",,,"Y","N","thanhpham.ts",,"VAT 0%",,"Kg",,"I",,"0,00","0,00","N",,"N","Y",,"N","N",0,"N","0,00",,0,"0,00","Y","N","N","Y","Y","N",,"N",,,0,0,,,"N","Y",,,"N","0,00"
"*","lhtp4.18",,"Cá Tạp Surimi cấp đông","Cá Tạp Surimi cấp đông",,,"Y","N","thanhpham.ts",,"VAT 0%",,"Kg",,"I",,"0,00","0,00","N",,"N","Y",,"N","N",0,"N","0,00",,0,"0,00","Y","N","N","Y","Y","N",,"N",,,0,0,,,"N","Y",,,"N","0,00"
"*","ns20",,"Cá hố cấp đông Ngọc Sơn","Cá hố cấp đông Ngọc Sơn",,,"Y","N","thanhpham.ts",,"VAT 0%",,"Each",,"I",,"0,00","0,00","N",,"N","Y",,"N","N",0,"N","0,00",,0,"0,00","Y","N","N","Y","Y","N",,"N",,,0,0,,,"N","Y",,,"N","0,00"
